repo,path,lines,bytes,families,score,fam_detail,in_base,near_base,sha,reviewed
self-map,self-map/10-life-history/09-history/metodika-analiza.md,135,10313,3,312,REGISTRY=10;RULE=1;STRUCT=1,,,305f00476bc1,
edu-base,edu-base/CHANGELOG.md,215,16774,3,311,REGISTRY=4;RULE=6;STRUCT=1,,,d6c2ec4fb150,
personal-finance-dss,personal-finance-dss/tools/preflight.py,251,12434,3,311,META=1;REGISTRY=5;RULE=5,,,8df16902b0a6,
personal-finance-dss,personal-finance-dss/docs/model/expert_certification/iterations/4/expert_feedback_aggregate.md,129,13804,3,311,META=2;RULE=8;STRUCT=1,,,045f9fb4e239,
character-a-analysis,character-a-analysis/context-lab/06-history/harvest/notes-11-current.md,229,19622,3,311,REGISTRY=3;RULE=6;STRUCT=2,,,4a589cea0c57,
misc-vault,misc-vault/00-infrastructure/README.md,107,12657,3,311,META=4;REGISTRY=2;RULE=5,,,2aa8b3a000ad,
health-vault,health-vault/00-infrastructure/README.md,107,12657,3,311,META=4;REGISTRY=2;RULE=5,,,2aa8b3a000ad,
legal-knowledge-base,legal-knowledge-base/00-infrastructure/README.md,107,12657,3,311,META=4;REGISTRY=2;RULE=5,,,2aa8b3a000ad,
legal-knowledge-base,legal-knowledge-base/reports/imports/telegram-sergastokh-Первый-ИИ-Помощник-призывника.md,1282,112936,3,311,META=1;RULE=9;STRUCT=1,,,053e4cb45799,
academic-portfolio,academic-portfolio/00-infrastructure/README.md,107,12657,3,311,META=4;REGISTRY=2;RULE=5,,,2aa8b3a000ad,
portrait-of-taste,portrait-of-taste/00-infrastructure/README.md,122,15484,3,311,META=4;REGISTRY=2;RULE=5,,,f1292bf6887f,
family,family/00-infrastructure/README.md,107,12657,3,311,META=4;REGISTRY=2;RULE=5,,,2aa8b3a000ad,
edu-base,edu-base/00-infrastructure/README.md,107,12657,3,311,META=4;REGISTRY=2;RULE=5,,,2aa8b3a000ad,
truth-seeking,truth-seeking/00-infrastructure/README.md,107,12657,3,311,META=4;REGISTRY=2;RULE=5,,,2aa8b3a000ad,
self-map,self-map/00-infrastructure/README.md,109,13093,3,311,META=4;REGISTRY=2;RULE=5,,,7633afbe710d,
exam-kit,exam-kit/examples/2026-07-23-itkn-bilet06/incident_report.md,61,11167,3,311,META=1;REGISTRY=7;RULE=3,,,ea86cf3b9228,
it-base,it-base/00-infrastructure/README.md,107,12657,3,311,META=4;REGISTRY=2;RULE=5,,,2aa8b3a000ad,
christ-walk,christ-walk/00-infrastructure/README.md,107,12657,3,311,META=4;REGISTRY=2;RULE=5,,,2aa8b3a000ad,
vk-graph,vk-graph/CHANGELOG.md,117,8254,3,310,REGISTRY=3;RULE=6;STRUCT=1,,,cc862b63af63,
portrait-of-taste,portrait-of-taste/PROJECT_DEFENSE_ADVANCED.md,539,42460,3,310,META=1;RULE=8;STRUCT=1,,,15775865bbde,
character-a-analysis,character-a-analysis/ROADMAP.md,235,21086,3,310,META=3;REGISTRY=3;RULE=4,,,d937f06eca67,
personal-finance-dss,personal-finance-dss/knowledge/guides/fork_merge_methodology.md,363,33245,3,310,REGISTRY=3;RULE=6;STRUCT=1,,,932db8658f82,
personal-finance-dss,personal-finance-dss/knowledge/guides/engineering_reasoning_guide.md,132,11437,3,310,META=3;POSTMOR=1;RULE=6,,,2093e07b193b,
