время	процесс	вниз_Б	вверх_Б	дубли	не_в_срок	повторы
06:50:34	steam_osx	415765	88739	6132	0	4993
06:50:34	dota2	45595257	6842235	0	0	0
06:50:34	Tunnel	19422583	69210496	17591	7555	1159595
06:50:45	steam_osx	415765	88793	6132	0	4993
06:50:45	dota2	46051911	6900227	0	0	0
06:50:45	Tunnel	19918707	69284209	17591	7555	1159595
06:50:55	steam_osx	415765	88793	6132	0	4993
06:50:55	dota2	46627975	6954350	0	0	0
06:50:55	Tunnel	20539474	69353843	17591	7555	1159595
06:51:05	steam_osx	416163	88847	6132	0	4993
06:51:05	dota2	47055932	7008415	0	0	0
06:51:05	Tunnel	20998138	69423979	17591	7555	1159595
06:51:15	steam_osx	417818	89269	6132	0	4993
06:51:15	dota2	47482939	7065282	0	0	0
06:51:15	Tunnel	21462729	69497796	17591	7555	1159595
06:51:25	steam_osx	418581	89269	6132	0	4993
06:51:25	dota2	48020563	7119752	0	0	0
06:51:25	Tunnel	22038399	69347129	17591	7555	1159595
06:51:35	steam_osx	418581	89269	6132	0	4993
06:51:35	dota2	48566745	7175151	0	0	0
06:51:35	Tunnel	22626493	69424710	17591	7555	1159595
06:51:45	steam_osx	418781	89323	6132	0	4993
06:51:45	dota2	49028599	7232980	0	0	0
06:51:45	Tunnel	23150676	69520625	17591	7555	1159595
06:51:56	steam_osx	419662	89745	6132	0	4993
06:51:56	dota2	49543709	7300220	0	0	0
06:51:56	Tunnel	23673772	69576694	17591	7555	1159595
06:52:06	steam_osx	420231	89745	6132	0	4993
06:52:06	dota2	50000697	7419495	0	0	0
06:52:06	Tunnel	24173796	69718627	17591	7555	1159595
06:52:16	steam_osx	420325	89799	6132	0	4993
06:52:16	dota2	50487193	7489561	0	0	0
06:52:16	Tunnel	24705699	69807804	17591	7555	1159595
06:52:26	steam_osx	420906	89799	6132	0	4993
06:52:26	dota2	50959523	7553849	0	0	0
06:52:26	Tunnel	25214473	70140391	17591	7555	1161598
06:52:36	steam_osx	420906	89853	6132	0	4993
06:52:36	dota2	51422615	7611082	0	0	0
06:52:36	Tunnel	25724753	70381559	17591	7555	1161598
06:52:46	steam_osx	420906	89853	6132	0	4993
06:52:46	dota2	51926714	7663932	0	0	0
06:52:46	Tunnel	26269906	70448431	17591	7555	1161598
